Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
16,Female,Caucasian,Bachelor's,2.252184587,8,No,High,No,No,Yes,No,2.14520472
18,Male,Caucasian,None,18.67974837,10,No,High,Yes,No,No,No,2.854803929
18,Male,Caucasian,Some College,3.671592547,20,No,High,Yes,No,No,No,1.519441726
15,Male,Asian,Some College,5.055317199,12,Yes,None,No,Yes,No,No,1.72712031
15,Male,Caucasian,Bachelor's,8.132730538,17,No,Very High,No,No,No,Yes,1.847535471
18,Male,Caucasian,Bachelor's,7.663289371,25,No,Low,No,Yes,No,No,0.384616973
16,Male,Other,Bachelor's,15.89325785,21,No,None,Yes,Yes,No,No,0.949406098
16,Male,Caucasian,Bachelor's,9.126336411,27,Yes,Moderate,Yes,Yes,No,No,1.140959418
15,Male,Other,High School,3.4153652,23,No,Low,No,No,No,No,0.26147226
18,Male,Caucasian,High School,5.34419791,26,Yes,Low,No,No,No,No,0.218284857
15,Male,Asian,High School,10.1822677,21,Yes,Low,No,Yes,No,No,1.067763551
15,Female,African American,High School,2.949078349,3,Yes,Low,Yes,Yes,No,No,3.018905858
17,Female,Asian,High School,12.23311351,21,Yes,High,Yes,Yes,No,No,1.526867832
17,Female,Other,Some College,11.31494613,23,Yes,Low,No,No,No,No,1.0582874
17,Male,Caucasian,High School,14.29404633,7,No,Moderate,No,No,No,No,2.625128098
16,Female,Other,Some College,18.75409231,12,Yes,Very High,No,No,No,No,2.808754822
18,Female,Caucasian,High School,18.24509122,9,No,Moderate,No,Yes,No,No,2.888891669
18,Female,Caucasian,High School,18.92151236,1,Yes,High,Yes,Yes,No,No,4
18,Male,Caucasian,Some College,4.89431194,7,No,Very High,No,No,Yes,No,2.515300272
18,Male,African American,Some College,2.631306133,5,No,Low,Yes,No,No,No,2.56376543
17,Male,Caucasian,Some College,6.04553401,15,No,Moderate,No,No,No,No,1.703611803
16,Male,African American,Some College,17.90170346,17,No,High,No,No,Yes,No,2.099885157
16,Female,African American,High School,19.44106949,16,No,Very High,Yes,No,No,No,2.461046963
17,Female,Asian,Some College,17.18649902,5,No,High,No,No,No,No,2.935477192
16,Female,Asian,None,2.200354423,12,Yes,Low,Yes,No,Yes,No,1.986378059
17,Female,Caucasian,High School,18.94855996,22,No,Very High,No,No,Yes,No,1.571544191
18,Male,Caucasian,Some College,8.467160547,13,No,Low,No,Yes,No,No,1.66431069
17,Male,Caucasian,None,0.186205815,29,Yes,Moderate,Yes,Yes,No,No,0.756259167
18,Male,Caucasian,High School,8.847874815,25,No,Moderate,No,Yes,No,No,0.802769539
18,Female,Caucasian,Higher,0.921383394,20,No,Moderate,No,Yes,Yes,No,1.342387178
15,Male,Caucasian,Higher,10.87755842,29,No,High,Yes,No,No,No,0.286571288
17,Male,Caucasian,High School,6.771080549,9,Yes,High,No,Yes,No,No,2.613838694
15,Female,Other,None,9.468698672,23,No,High,No,Yes,No,No,0.929012555
17,Female,African American,High School,12.26340721,10,No,None,Yes,No,Yes,No,1.892758696
17,Male,Caucasian,High School,17.37602192,12,No,Moderate,No,No,Yes,No,2.331261549
15,Male,African American,Bachelor's,13.23803153,11,No,High,No,Yes,No,No,2.234238473
15,Male,Caucasian,High School,8.68097737,8,No,Moderate,No,Yes,No,No,2.385828219
17,Male,Caucasian,Some College,16.38855707,3,Yes,Very High,No,No,No,No,3.347356744
16,Male,African American,High School,18.11164275,6,Yes,High,Yes,No,No,No,3.261855307
18,Male,Caucasian,Higher,2.395199329,23,No,High,No,Yes,No,No,1.039623879
15,Female,Caucasian,High School,10.63865955,28,No,None,No,Yes,No,No,0.027818625
18,Female,Other,Some College,5.690239195,21,Yes,High,No,No,Yes,No,1.329964538
16,Female,Asian,High School,0.941223958,1,No,Very High,No,No,Yes,No,3.283916522
16,Male,African American,Some College,13.3709339,6,No,Moderate,Yes,No,No,No,2.937454182
16,Female,African American,High School,17.25541555,28,No,High,No,No,Yes,Yes,0.738868203
15,Male,African American,High School,3.25805309,8,No,Moderate,Yes,Yes,No,No,2.556801663
16,Male,Caucasian,Bachelor's,16.24827315,4,Yes,Moderate,No,No,No,No,3.300928569
15,Female,Caucasian,Bachelor's,17.06791467,14,No,High,Yes,No,Yes,No,2.200682947
16,Male,Caucasian,Bachelor's,18.28680885,17,No,High,No,Yes,No,No,1.855865573
18,Male,Caucasian,Some College,5.305701782,3,No,High,No,No,No,No,2.734401494
18,Female,African American,Bachelor's,18.0790613,18,Yes,Low,Yes,Yes,No,No,2.131737297
17,Female,Caucasian,None,6.413255095,19,No,Low,No,No,No,No,0.979769911
18,Female,Other,High School,11.04676027,25,No,High,No,Yes,No,No,0.994325024
17,Male,Other,High School,1.010149417,6,No,Low,No,Yes,No,No,2.074699977
18,Female,Asian,Some College,0.877621767,25,No,Moderate,No,No,No,No,0.500508036
15,Female,African American,High School,14.40746425,7,No,None,Yes,Yes,No,No,2.532438418
18,Male,Asian,High School,8.88959956,16,No,Low,No,Yes,No,No,1.463378036
17,Female,Caucasian,Some College,5.125847507,12,No,High,Yes,Yes,No,No,2.342836773
17,Female,Asian,Bachelor's,3.80826992,23,No,High,No,No,No,No,1.158846334
16,Female,Caucasian,High School,13.39906982,20,Yes,Low,Yes,No,Yes,Yes,1.523748745
15,Male,Asian,High School,0.008030881,27,No,Low,No,No,Yes,No,0
18,Male,Caucasian,High School,16.11782338,22,No,None,Yes,No,Yes,No,1.058622014
16,Male,Asian,High School,1.584992123,10,No,Moderate,No,No,Yes,Yes,2.229740184
18,Male,Other,High School,3.829792298,26,No,Low,No,No,No,Yes,0.194743281
18,Female,Caucasian,Some College,7.724727906,0,No,Moderate,Yes,Yes,No,No,3.506920071
16,Male,Caucasian,Some College,9.697174794,1,Yes,High,No,No,No,No,3.552286943
16,Male,Other,Some College,7.099902316,16,Yes,High,No,Yes,No,No,2.238491354
16,Female,Caucasian,High School,6.4142433,4,No,Low,Yes,Yes,No,No,2.708472344
16,Female,Asian,Bachelor's,19.27832024,29,No,High,No,No,No,Yes,0.732908234
16,Female,African American,High School,12.83159362,29,No,Very High,No,No,Yes,No,0.965482445
18,Male,Caucasian,Some College,0.468659107,5,No,Moderate,No,Yes,No,No,2.55523286
16,Male,Caucasian,Bachelor's,8.603518169,25,No,Moderate,Yes,No,Yes,Yes,0.7443223
15,Male,Caucasian,High School,17.50017399,24,No,Moderate,No,No,No,No,0.722056581
17,Female,Asian,High School,6.029123728,23,Yes,Low,Yes,Yes,No,Yes,1.27122953
16,Female,Caucasian,Bachelor's,1.891126895,6,No,High,Yes,No,Yes,Yes,2.526142141
16,Male,African American,High School,15.16769543,27,No,High,Yes,Yes,No,No,0.942415395
18,Female,Caucasian,Some College,12.12027664,20,Yes,Moderate,No,Yes,No,No,1.515639098
16,Female,African American,None,11.40625016,29,No,High,Yes,No,No,No,0.648273927
16,Female,Asian,Some College,1.071531192,14,No,High,No,Yes,Yes,Yes,2.048850082
16,Male,Other,High School,2.809980196,18,No,None,Yes,No,No,Yes,0.842295999
18,Female,Caucasian,None,12.45098792,15,No,Low,No,Yes,No,No,1.464187924
16,Female,Asian,Some College,4.156476829,24,Yes,High,Yes,Yes,No,No,1.487946865
17,Male,Asian,High School,10.08140159,12,Yes,Very High,No,No,No,No,2.587565796
18,Male,African American,High School,10.89763372,4,Yes,High,No,No,No,No,3.220806978
17,Female,Other,None,5.670143805,2,Yes,Very High,No,No,Yes,No,3.545159432
18,Female,Caucasian,High School,18.96850311,2,No,Moderate,No,No,No,No,3.089598953
16,Male,Caucasian,High School,16.84928214,18,Yes,Low,No,Yes,Yes,No,1.91995644
17,Male,Asian,None,14.44747015,13,Yes,Moderate,No,No,No,No,2.198593185
18,Female,Caucasian,Bachelor's,1.559877328,15,No,None,No,No,No,Yes,0.878212617
15,Female,Asian,None,2.122600386,21,No,High,Yes,No,Yes,No,1.340368648
16,Female,Asian,Some College,9.855626917,16,No,Very High,No,No,No,No,1.819511336
18,Female,Caucasian,High School,3.214266984,26,No,High,No,Yes,No,No,0.619350931
15,Male,Asian,High School,19.56530927,3,No,Moderate,Yes,No,Yes,Yes,3.61946087
18,Female,Caucasian,Bachelor's,3.170404681,12,Yes,Low,Yes,Yes,No,No,2.174902796
15,Female,African American,High School,9.749356709,7,Yes,Low,No,Yes,Yes,No,2.974406015
16,Male,African American,Higher,7.282421137,18,No,Moderate,No,No,No,No,0.980735844
17,Female,Other,High School,12.78772843,4,No,High,No,No,No,No,3.101673809
15,Male,Caucasian,Some College,2.580728178,1,Yes,Moderate,Yes,No,Yes,No,3.498257342
18,Female,Caucasian,Some College,8.606328561,14,No,Very High,Yes,No,No,No,2.590553445
16,Female,African American,Bachelor's,5.494100656,1,No,High,Yes,No,No,No,3.535003758
15,Male,Asian,Some College,17.75503049,10,Yes,Low,No,Yes,No,No,2.819921745
18,Male,African American,Some College,0.811714243,12,Yes,Low,Yes,Yes,No,No,2.016596775
18,Female,Caucasian,High School,18.27454988,22,Yes,High,No,No,No,No,1.371185039
18,Female,Caucasian,High School,16.65988277,9,No,Low,No,No,No,No,2.104795588
15,Female,Caucasian,Bachelor's,5.951414329,2,No,High,No,No,No,No,3.030439089
15,Male,Asian,High School,15.78581309,4,Yes,Moderate,No,Yes,No,No,3.582421872
15,Female,Caucasian,High School,0.624271207,2,No,Low,Yes,No,No,No,2.426546706
17,Male,Caucasian,Some College,19.33731101,5,Yes,Moderate,Yes,No,No,No,3.16143627
15,Male,Other,High School,10.53189885,12,No,Moderate,Yes,No,No,No,2.12263853
15,Female,Caucasian,Higher,6.065620521,9,No,High,No,Yes,No,No,2.204860581
15,Male,Other,Some College,7.251664252,18,No,None,Yes,No,Yes,Yes,1.1829875
17,Female,African American,Some College,1.328107069,7,No,High,Yes,No,No,No,2.738795716
15,Female,Asian,Bachelor's,19.78699028,17,Yes,High,No,No,No,No,2.237901301
18,Female,Caucasian,None,0.785838903,2,No,High,Yes,No,No,No,3.139481546
15,Female,Caucasian,High School,13.09814246,23,Yes,None,Yes,Yes,No,No,1.046044771
18,Female,Asian,Some College,8.854718554,23,Yes,High,No,No,No,No,0.816458245
18,Male,Asian,High School,18.97832436,16,No,Moderate,Yes,No,Yes,No,2.033544621
18,Male,Asian,Some College,4.919994806,7,Yes,Moderate,Yes,Yes,No,No,2.432078523
17,Female,Caucasian,Bachelor's,10.64173648,9,No,High,Yes,No,No,No,2.65977132
17,Female,Asian,Some College,9.647124172,1,Yes,Moderate,Yes,No,No,Yes,3.58888794
17,Male,Asian,High School,14.05732888,11,No,High,No,Yes,No,No,2.314587628
15,Male,African American,Higher,1.360204639,22,No,Low,Yes,Yes,No,Yes,1.00722582
18,Male,Asian,Some College,3.8757826,5,No,High,Yes,No,No,No,2.881612321
17,Male,Asian,Some College,4.291296402,1,No,Low,No,Yes,Yes,No,2.804504929
17,Female,African American,High School,14.7630151,20,Yes,High,No,Yes,No,No,1.762921124
15,Female,Caucasian,Bachelor's,3.782773927,22,No,Very High,Yes,No,No,Yes,1.119911263
17,Male,Caucasian,Some College,11.46983528,23,No,Moderate,No,No,No,No,1.030657506
15,Female,Caucasian,Some College,4.30487641,2,No,Moderate,Yes,No,No,No,3.075619354
16,Male,Caucasian,Bachelor's,17.232499,16,Yes,High,Yes,Yes,No,No,2.631434065
17,Female,Caucasian,High School,18.84370909,28,No,None,No,Yes,Yes,Yes,0.503066907
16,Male,Caucasian,Some College,10.3698595,6,No,Moderate,No,No,No,No,2.784237837
15,Female,Caucasian,Bachelor's,7.046177684,28,No,Moderate,No,No,No,No,0.247626765
18,Male,Caucasian,High School,4.6811555,20,No,High,No,No,No,Yes,1.18954877
17,Male,Asian,Some College,0.99562003,4,Yes,High,Yes,No,No,Yes,3.375994009
15,Female,Other,Bachelor's,5.370001524,22,Yes,High,No,No,No,No,1.293573556
18,Male,Caucasian,Some College,13.0847156,0,Yes,High,No,No,Yes,Yes,3.718586904
18,Female,Other,Some College,10.67233863,7,No,High,Yes,No,No,No,2.670559615
16,Female,African American,Bachelor's,18.88082557,11,Yes,Moderate,Yes,No,No,No,2.369648013
15,Male,Caucasian,Bachelor's,7.92554525,13,No,Moderate,No,Yes,No,No,1.62448682
18,Female,Caucasian,High School,13.87726685,15,Yes,Moderate,Yes,Yes,No,No,2.537476828
17,Female,African American,None,9.78645495,9,No,Very High,No,Yes,No,No,2.298417929
17,Female,Asian,Some College,10.25152432,14,No,High,Yes,No,No,No,2.25980415
16,Female,Asian,Some College,5.355486292,20,No,Moderate,No,Yes,No,No,1.321343301
18,Female,Caucasian,Some College,9.099015537,23,No,High,No,Yes,No,No,0.949974228
15,Male,Caucasian,Some College,9.41569994,25,No,Moderate,Yes,No,No,Yes,0.818786616
17,Female,Caucasian,High School,14.13285043,14,Yes,High,No,No,No,No,2.339224513
18,Female,Caucasian,Some College,18.81279998,9,No,Moderate,No,Yes,No,No,2.682776288
18,Female,Caucasian,High School,6.58642555,20,Yes,Low,Yes,No,No,No,1.543837471
16,Female,Caucasian,Some College,0.844009372,27,No,High,Yes,No,No,No,0.196901105
17,Female,Asian,Some College,9.92590251,6,No,High,No,No,No,No,2.748610257
17,Male,Other,High School,10.88922664,25,Yes,Moderate,Yes,No,Yes,No,1.104893788
15,Female,Caucasian,High School,3.368811023,2,No,Moderate,Yes,No,No,No,2.553439811
17,Male,Other,Some College,15.20929213,1,No,High,Yes,No,No,Yes,3.274233459
15,Male,Caucasian,Some College,19.69858217,5,Yes,High,No,No,No,No,3.186060378
17,Male,Caucasian,High School,18.91549434,20,No,High,Yes,No,No,No,1.72211575
16,Male,Caucasian,Higher,3.942120776,8,No,Moderate,Yes,Yes,No,No,2.338046358
17,Female,African American,Some College,17.5072648,9,Yes,Very High,Yes,Yes,No,No,3.273998748
15,Male,Other,Higher,14.08987273,3,No,High,No,No,No,No,2.993502391
15,Male,African American,Some College,9.076931276,26,Yes,High,Yes,No,No,No,0.896397899
16,Female,Caucasian,Some College,10.81221989,2,No,High,No,No,No,No,2.961055259
17,Female,African American,Bachelor's,16.9920035,8,No,Low,Yes,No,No,No,2.674351095
17,Female,Caucasian,Some College,9.602698793,23,No,None,Yes,Yes,No,No,1.217873151
16,Male,Asian,Some College,7.464147382,21,Yes,High,No,No,No,No,1.36559111
17,Female,African American,High School,9.864949861,16,No,Moderate,No,No,No,Yes,1.522274845
17,Female,Caucasian,Some College,11.58259608,13,Yes,High,No,No,No,No,2.231402397
15,Male,African American,High School,3.781553076,9,No,Moderate,Yes,No,No,No,2.135266355
17,Female,African American,High School,18.01815461,12,No,Moderate,No,No,No,No,2.255698915
17,Female,Caucasian,None,13.48373898,11,Yes,Low,Yes,No,Yes,No,2.751145788
16,Female,African American,None,12.66537835,26,No,High,Yes,Yes,No,No,0.897634159
16,Female,Caucasian,Higher,1.989924524,0,No,Low,Yes,No,No,Yes,3.117354435
18,Male,Asian,High School,12.08347876,27,No,High,Yes,No,Yes,No,1.287595131
15,Female,Asian,Some College,2.419213245,21,No,Moderate,No,No,No,No,0.571053098
17,Female,Asian,Bachelor's,1.573953504,28,No,High,Yes,No,No,No,0.581355799
17,Male,African American,Some College,10.54621791,18,No,Low,No,No,Yes,No,1.643462404
18,Female,African American,High School,8.055710681,18,No,Low,No,No,No,No,1.234844041
17,Male,Caucasian,Some College,11.7762054,5,No,High,No,Yes,No,Yes,2.96809362
15,Female,Asian,Some College,1.784443361,12,No,Moderate,Yes,No,No,No,2.00929848
18,Male,Caucasian,Some College,8.619661257,18,No,Low,Yes,No,No,No,1.146086034
15,Male,Caucasian,Some College,3.495734301,12,Yes,Very High,No,No,No,No,2.192363198
18,Male,Caucasian,Higher,19.74200172,26,Yes,Low,Yes,No,No,No,0.945730873
18,Male,Caucasian,Some College,11.22300425,25,No,Moderate,Yes,No,No,No,0.567250028
16,Female,African American,High School,13.74873722,21,No,Low,No,No,No,No,0.970764347
15,Male,Caucasian,Some College,6.508365614,20,Yes,Moderate,Yes,No,Yes,Yes,1.656060126
17,Female,Asian,None,1.894778296,3,No,Moderate,No,No,Yes,No,2.839313249
17,Male,Caucasian,Bachelor's,19.51741726,23,No,Low,No,No,Yes,Yes,0.18981806
15,Male,Caucasian,High School,5.725180708,1,No,High,Yes,No,No,No,3.258294685
17,Male,African American,High School,8.476163703,14,Yes,Moderate,No,No,No,No,1.920055853
17,Female,Caucasian,Bachelor's,12.99727843,11,No,High,No,No,No,No,2.021771494
15,Male,Caucasian,Some College,0.493945954,29,Yes,Low,Yes,No,No,No,0.125933075
18,Female,Asian,High School,16.20518261,26,Yes,Moderate,Yes,No,No,No,1.287013412
15,Female,Caucasian,Some College,10.7315638,6,No,None,Yes,No,Yes,No,2.591426703
18,Female,Asian,Bachelor's,5.564343741,19,Yes,High,No,No,No,No,1.463379649
17,Female,Caucasian,High School,1.232159706,17,No,High,No,No,No,No,1.465549386
17,Female,Caucasian,Bachelor's,3.249968309,22,No,High,Yes,Yes,No,Yes,1.710466838
17,Female,Asian,None,17.90067718,12,No,Moderate,No,Yes,No,Yes,2.288505685
16,Female,Caucasian,Some College,13.72048448,16,No,High,No,No,Yes,No,1.960968849
18,Female,Caucasian,Bachelor's,4.998034433,3,No,High,No,No,No,No,2.621623326
16,Female,Caucasian,High School,1.312015299,24,No,None,Yes,No,No,No,0.768316386
16,Male,Caucasian,Some College,13.81230625,13,No,Low,No,No,Yes,No,1.806406345
15,Male,Asian,High School,11.44815452,19,No,Moderate,No,No,No,No,0.881866353
16,Male,Caucasian,Some College,8.090390489,27,No,High,No,Yes,No,No,0.817068221
15,Male,Asian,Some College,7.272228984,12,Yes,None,No,No,No,No,1.446132528
15,Male,Asian,Some College,4.336285519,2,No,High,No,Yes,No,No,3.339094362
16,Female,Caucasian,High School,13.39222513,25,No,Moderate,No,No,No,No,0.819625478
18,Female,Other,High School,19.41336056,25,No,Moderate,No,No,No,No,0.676817973
18,Female,Caucasian,None,3.514304917,17,No,Low,No,Yes,No,Yes,1.389544874
18,Female,Other,High School,11.9423324,13,No,Moderate,No,Yes,No,Yes,1.991508414
18,Female,Caucasian,Some College,8.483701115,14,No,None,No,Yes,No,No,1.63986755
18,Female,African American,Bachelor's,8.933774435,2,No,None,No,Yes,No,No,2.511743021
16,Female,Caucasian,Some College,5.082945603,0,No,High,No,No,Yes,No,2.98391995
16,Male,Caucasian,Some College,16.50269751,25,Yes,Moderate,No,No,Yes,No,1.258654854
17,Male,African American,Higher,9.705112083,23,Yes,Moderate,No,No,No,No,1.417929927
18,Male,Asian,Some College,10.86811704,16,No,Low,Yes,No,Yes,No,1.597016572
16,Male,Caucasian,Bachelor's,6.095218256,2,Yes,Moderate,No,Yes,No,No,3.088699868
17,Female,Caucasian,Some College,3.636169313,13,No,None,Yes,Yes,No,No,1.641341443
18,Female,Asian,High School,1.718207764,2,No,Moderate,No,Yes,No,No,2.586870656
15,Female,African American,None,14.28238282,12,Yes,Moderate,No,No,No,No,2.389032645
17,Male,Other,Some College,3.924685634,14,No,Moderate,Yes,No,No,No,1.8981464
16,Female,Asian,High School,13.80150708,17,No,Very High,No,Yes,No,No,2.110487975
15,Female,Other,High School,7.807528921,13,No,Moderate,No,No,No,No,1.700273589
15,Female,Asian,Some College,8.31549602,20,No,Moderate,Yes,No,No,No,1.044499995
15,Male,Caucasian,Some College,9.383549922,25,No,Moderate,No,Yes,No,No,1.194166134
17,Female,Caucasian,Some College,7.354170163,2,No,Low,No,No,Yes,No,2.649136828
16,Male,Asian,High School,2.012399544,18,No,High,No,Yes,No,No,1.234141389
15,Male,African American,High School,6.1926362,7,No,Moderate,Yes,No,No,No,2.127408866
18,Male,Caucasian,Some College,13.27468721,3,Yes,Low,Yes,No,No,No,2.913887649
15,Male,Caucasian,Higher,13.31568803,3,No,High,No,No,No,Yes,3.119393913
15,Female,Other,Some College,5.724486145,18,Yes,None,No,No,No,No,1.036378738
17,Male,African American,Bachelor's,9.202052531,10,No,Very High,Yes,No,No,Yes,2.403284547
17,Male,Caucasian,Some College,3.86894456,0,Yes,High,No,No,No,No,3.156508064
16,Female,Caucasian,Some College,4.207441631,7,Yes,Moderate,No,Yes,Yes,No,2.723471859
18,Female,Caucasian,High School,0.460941768,14,No,Low,Yes,Yes,No,No,1.530951146
17,Male,Caucasian,Some College,17.934931,0,No,Low,No,No,No,No,3.468581349
15,Female,Caucasian,Some College,4.214133301,6,No,Low,Yes,No,No,No,2.302032044
16,Male,Caucasian,Some College,4.550677539,20,Yes,Low,Yes,No,No,No,1.265677909
15,Male,Asian,Some College,5.592028653,19,No,Moderate,Yes,Yes,No,Yes,1.479602228
15,Male,Caucasian,Some College,2.548161434,19,No,Very High,No,No,Yes,Yes,1.445076719
17,Male,Asian,High School,12.78525766,23,No,Moderate,No,No,No,No,0.80943381
16,Female,Asian,Some College,1.502859064,10,Yes,High,No,No,No,No,2.15023327
18,Male,Caucasian,High School,2.684048527,26,No,High,No,No,No,No,0.559143716
18,Female,African American,Bachelor's,12.89513453,28,No,High,No,No,No,No,0.580788485
17,Female,Caucasian,High School,6.79321241,13,No,None,No,Yes,Yes,Yes,1.602089196
17,Female,Asian,None,14.15895653,21,Yes,Moderate,No,Yes,No,No,1.002798364
16,Female,Caucasian,Some College,11.14849489,15,No,High,No,No,No,No,1.663063453
18,Male,African American,Some College,5.120423461,13,No,High,No,No,No,Yes,1.53154646
18,Female,African American,Some College,13.01655901,11,No,Very High,No,No,No,No,2.205842147
18,Male,Caucasian,High School,2.325473606,16,No,High,No,No,No,Yes,1.155338561
15,Female,Caucasian,Some College,10.72820766,13,Yes,Low,No,No,No,No,2.15375834
18,Female,African American,High School,8.742962101,9,No,Moderate,Yes,No,No,Yes,2.592786686
15,Male,Asian,Bachelor's,5.357471656,23,No,None,Yes,Yes,No,No,0.912330507
16,Male,Caucasian,Bachelor's,12.08009995,28,Yes,High,No,No,No,No,0.695630933
15,Male,African American,Some College,17.42667185,13,Yes,Moderate,No,No,No,No,2.139619891
16,Female,Caucasian,High School,19.978094,17,No,High,No,No,No,No,1.550449331
18,Female,Asian,Some College,12.15525537,21,No,Very High,No,No,No,Yes,1.5475367
18,Male,Caucasian,None,8.094117487,8,Yes,High,No,No,Yes,No,2.966548034
16,Male,Asian,Some College,4.504142004,16,No,Moderate,Yes,No,No,Yes,1.633679371
17,Male,Caucasian,High School,5.141921788,5,Yes,Low,No,No,No,No,2.33254032
16,Male,Caucasian,Bachelor's,9.589099563,7,Yes,High,Yes,Yes,Yes,No,3.270262309
17,Female,Caucasian,None,7.345554026,25,No,Low,No,No,No,No,0.346470593
15,Male,Caucasian,Some College,18.27629045,12,Yes,Low,No,No,No,No,1.894904336
15,Male,African American,Some College,7.365909353,17,No,Low,No,No,No,No,1.456742601
15,Male,Caucasian,Some College,7.468891823,4,No,Moderate,Yes,No,No,No,2.553723151
18,Male,Asian,None,7.670690249,5,No,Low,No,No,No,No,2.224197461
15,Female,Caucasian,Higher,16.73240421,20,Yes,Very High,No,Yes,Yes,No,1.847600418
17,Male,Caucasian,Some College,13.01576642,18,No,Very High,Yes,No,No,No,1.849760707
15,Female,Caucasian,Some College,12.28337701,3,No,Very High,No,No,Yes,No,3.268794216
16,Male,Caucasian,High School,6.682860448,6,Yes,None,No,No,No,Yes,2.546516637
16,Male,Caucasian,Some College,16.35808354,3,No,Very High,No,No,No,No,3.101229221
18,Female,Caucasian,Some College,0.767277227,24,No,Very High,No,No,Yes,No,0.655954078
16,Male,Caucasian,None,17.41594345,10,Yes,Very High,No,Yes,No,No,3.088512306
17,Female,Caucasian,High School,10.254998,11,Yes,High,No,No,No,No,1.992559805
15,Female,African American,Bachelor's,7.965004697,13,Yes,High,No,Yes,No,No,2.605247446
18,Male,African American,High School,9.943345614,12,Yes,Low,No,No,No,No,1.733972454
15,Female,Caucasian,High School,13.34831061,28,No,High,Yes,No,No,No,1.113848788
15,Female,Caucasian,Some College,0.25530853,9,No,None,Yes,No,No,No,1.649250252
17,Female,Other,Some College,17.43103713,17,No,Moderate,No,No,No,No,1.33755498
16,Female,African American,None,8.934790506,15,No,Very High,No,No,No,No,1.984659919
16,Female,African American,Some College,6.859330394,4,No,Moderate,No,Yes,Yes,No,3.060881656
15,Female,Caucasian,High School,2.764911313,7,Yes,Low,No,No,No,No,2.392897358
18,Female,Asian,None,8.789307487,13,No,Very High,No,No,No,No,2.08379699
16,Female,Asian,None,9.926455426,4,No,Very High,No,Yes,No,Yes,3.645738049
18,Male,African American,Bachelor's,8.07293389,25,No,Low,Yes,No,No,No,0.322286082
16,Male,Other,High School,13.57320188,27,No,High,No,Yes,No,No,1.129514334
18,Female,Caucasian,None,8.417930575,23,No,Moderate,Yes,No,No,No,0.630756944
17,Male,Caucasian,Some College,19.22835156,7,No,Moderate,No,No,Yes,Yes,3.157229639
18,Female,Asian,Bachelor's,11.98555036,24,No,Low,No,No,No,No,0.680087787
17,Female,Asian,High School,16.14955871,25,No,None,No,No,No,No,0.796359848
17,Male,Caucasian,Some College,2.187118062,5,Yes,Low,No,Yes,No,No,2.844039215
18,Female,Caucasian,None,7.945825859,15,Yes,None,No,Yes,No,No,1.253451854
17,Female,Caucasian,Some College,6.736954029,27,No,Very High,No,No,No,No,0.534508881
